HA,rating,tconst,title,year
1633889,9.3,tt0111161,The Shawshank Redemption,1994
1118799,9.2,tt0068646,The Godfather,1972
762879,9,tt0071562,The Godfather: Part II,1974
1616346,9,tt0468569,The Dark Knight,2008
835155,8.9,tt0108052,Schindler's List,1993
429172,8.9,tt0050083,12 Angry Men,1957
1280264,8.9,tt0110912,Pulp Fiction,1994
1175740,8.9,tt0167260,The Lord of the Rings: The Return of the King,2003
487214,8.9,tt0060196,"The Good, the Bad and the Ugly",1966
1298873,8.9,tt0137523,Fight Club,1999
1199368,8.8,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001
804899,8.8,tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980
1201550,8.8,tt0109830,Forrest Gump,1994
1413339,8.8,tt1375666,Inception,2010
1062753,8.7,tt0167261,The Lord of the Rings: The Two Towers,2002
658850,8.7,tt0073486,One Flew Over the Cuckoo's Nest,1975
704199,8.7,tt0099685,Goodfellas,1990
1176615,8.7,tt0133093,The Matrix,1999
222063,8.7,tt0047478,Seven Samurai,1954
878610,8.7,tt0076759,Star Wars,1977
517019,8.7,tt0317248,City of God,2002
987090,8.6,tt0114369,Se7en,1995
853374,8.6,tt0102926,The Silence of the Lambs,1991
266911,8.6,tt0038650,It's a Wonderful Life,1946
716518,8.6,tt0114814,The Usual Suspects,1995
402839,8.6,tt0118799,Life Is Beautiful,1997
