Key,LocID,AP_NAME,ALIAS,Facility Type,FAA REGION,COUNTY,CITY,STATE,AP Type,Latitude,Longitude,Boundary Data Available
3443,STX,HENRY E ROHLSEN,Henry E Rohlsen Int'l Airport,Airport,ASO,-VIRGIN ISLANDS-,CHRISTIANSTED,VI,Public Use,17.701556,-64.801722,Yes
5088,X64,PATILLAS,,Airport,ASO,#NAME?,PATILLAS,PR,Public Use,17.982189,-66.01933,No
2886,PSE,MERCEDITA,Aeropuerto Mercedita,Airport,ASO,#NAME?,PONCE,PR,Public Use,18.008306,-66.563028,Yes
2879,VQS,ANTONIO RIVERA RODRIGUEZ,Aeropuerto Antonio Rivera Rodr�guez,Airport,ASO,#NAME?,ISLA DE VIEQUES,PR,Public Use,18.134811,-65.493617,Yes
2883,X63,HUMACAO,Aeropuerto Regional De Humacao,Airport,ASO,#NAME?,HUMACAO,PR,Public Use,18.138017,-65.800718,Yes
2884,RVR,JOSE APONTE DE LA TORRE,Aeropuerto Jos� Aponte De La Torre,Airport,ASO,#NAME?,CEIBA,PR,Public Use,18.245269,-65.643381,Yes
2881,MAZ,EUGENIO MARIA DE HOSTOS,Aeropuerto Eugenio Mar�a De Hostos,Airport,ASO,#NAME?,MAYAGUEZ,PR,Public Use,18.255694,-67.148472,Yes
5087,X95,DIEGO JIMENEZ TORRES,,Airport,ASO,#NAME?,FAJARDO,PR,Public Use,18.30801,-65.661828,No
5086,CPX,BENJAMIN RIVERA NORIEGA,,Airport,ASO,#NAME?,ISLA DE CULEBRA,PR,Public Use,18.313289,-65.304324,No
3442,STT,CYRIL E KING,Cyril E King International Airport,Airport,ASO,-VIRGIN ISLANDS-,CHARLOTTE AMALIE,VI,Public Use,18.337306,-64.973361,Yes
2885,SJU,LUIS MUNOZ MARIN INTL,Aeropuerto Int'l Luis Mu�oz Marin,Airport,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,18.439295,-66.002004,Yes
2880,ABO,ANTONIO/NERY/JUARBE POL,Aeropuerto Antonio Juarbe,Airport,ASO,#NAME?,ARECIBO,PR,Public Use,18.451111,-66.675556,Yes
2882,SIG,FERNANDO LUIS RIBAS DOMINICCI,Aeropuerto De La Isla Grande,Airport,ASO,#NAME?,SAN JUAN,PR,Public Use,18.456791,-66.098463,Yes
2887,BQN,RAFAEL HERNANDEZ,Aeropuerto Rafael Hern�ndez,Airport,ASO,#NAME?,AGUADILLA,PR,Public Use,18.494861,-67.129444,Yes
974,ITO,HILO INTL,Hilo Int'l Airport,Airport,AWP,HAWAII,HILO,HI,Public Use,19.720263,-155.04847,Yes
979,KOA,KONA INTL AT KEAHOLE,Kona Int'l Airport At Keahole,Airport,AWP,HAWAII,KAILUA/KONA,HI,Public Use,19.738766,-156.045631,Yes
985,MUE,WAIMEA-KOHALA,Waimea-Kohala Airport,Airport,AWP,HAWAII,KAMUELA,HI,Public Use,20.001327,-155.668107,Yes
984,UPP,UPOLU,Upolu Airport,Airport,AWP,HAWAII,HAWI,HI,Public Use,20.265194,-155.859944,Yes
980,LNY,LANAI,Lanai Airport,Airport,AWP,MAUI,LANAI CITY,HI,Public Use,20.785611,-156.951418,Yes
973,HNM,HANA,Hana Airport,Airport,AWP,MAUI,HANA,HI,Public Use,20.795637,-156.014438,Yes
976,OGG,KAHULUI,Kahului Airport,Airport,AWP,MAUI,KAHULUI,HI,Federalized/Commercial,20.89865,-156.430458,Yes
982,MKK,MOLOKAI,Molokai Airport,Airport,AWP,MAUI,KAUNAKAKAI,HI,Public Use,21.152886,-157.096256,Yes
978,LUP,KALAUPAPA,Kalaupapa Airport,Airport,AWP,KALAWAO,KALAUPAPA,HI,Public Use,21.21104,-156.973597,Yes
977,JRF,KALAELOA (JOHN RODGERS FIELD),Kalaeloa Airport,Airport,AWP,HONOLULU,KAPOLEI,HI,Public Use,21.307354,-158.070302,Yes
975,HNL,HONOLULU INTL,Honolulu Int'l Airport,Airport,AWP,HONOLULU,HONOLULU,HI,Federalized/Commercial,21.318681,-157.922429,Yes
972,HDH,DILLINGHAM AIRFIELD,Dillingham Airfield,Airport,AWP,HONOLULU,MOKULEIA,HI,Public Use,21.579474,-158.197281,Yes
983,PAK,PORT ALLEN,Port Allen Airport,Airport,AWP,KAUAI,HANAPEPE,HI,Public Use,21.896944,-159.603167,Yes
981,LIH,LIHUE,Lihue Airport,Airport,AWP,KAUAI,LIHUE,HI,Public Use,21.975983,-159.338958,Yes
811,EYW,KEY WEST INTL,Key West Int'l Airport,Airport,ASO,MONROE,KEY WEST,FL,Federalized/Commercial,24.556111,-81.759556,Yes
866,MTH,THE FLORIDA KEYS MARATHON,Marathon Airport,Airport,ASO,MONROE,MARATHON,FL,Public Use,24.726194,-81.051361,Yes
806,X51,HOMESTEAD GENERAL AVIATION,Homestead General Aviation Airport,Airport,ASO,DADE,HOMESTEAD,FL,Public Use,25.499231,-80.554245,Yes
810,TMB,KENDALL-TAMIAMI EXECUTIVE,Kendall-Tamiami Executive Airport,Airport,ASO,DADE,MIAMI,FL,Public Use,25.647564,-80.433225,Yes
4196,X44,MIAMI,,Airport,ASO,DADE,MIAMI,FL,Public Use,25.778333,-80.170278,No
825,MIA,MIAMI INTL,Miami Int'l Airport,Airport,ASO,DADE,MIAMI,FL,Federalized/Commercial,25.795361,-80.290111,Yes
4190,X01,EVERGLADES AIRPARK,,Airport,ASO,COLLIER,EVERGLADES,FL,Public Use,25.848861,-81.390278,No
791,TNT,DADE-COLLIER TRAINING AND TRANSITION,Dade-Collier Training Airport,Airport,ASO,DADE,MIAMI,FL,Public Use,25.861806,-80.897,Yes
3110,BRO,BROWNSVILLE/SOUTH PADRE ISLAND INTL,Brownsville-S Padre Is Int'l Arpt,Airport,ASW,CAMERON,BROWNSVILLE,TX,Public Use,25.906833,-97.425833,Yes
835,OPF,OPA- LOCKA EXECUTIVE,Opa-Locka Airport,Airport,ASO,DADE,MIAMI,FL,Public Use,25.907417,-80.278222,Yes
819,MKY,MARCO ISLAND,Marco Island Executive Airport,Airport,ASO,COLLIER,MARCO ISLAND,FL,Public Use,25.995028,-81.672528,Yes
830,HWO,NORTH PERRY,North Perry Airport,Airport,ASO,BROWARD,HOLLYWOOD,FL,Public Use,26.001222,-80.240722,Yes
801,FLL,FORT LAUDERDALE/HOLLYWOOD INTL,Ft Lauderdale/Hollywood Int'l Arpt,Airport,ASO,BROWARD,FORT LAUDERDALE,FL,Federalized/Commercial,26.072596,-80.152741,Yes
4189,DT1,DOWNTOWN FORT LAUDERDALE,,Airport,ASO,BROWARD,FORT LAUDERDALE,FL,Public Use,26.120464,-80.142055,No
827,APF,NAPLES MUNI,Naples Municipal Airport,Airport,ASO,COLLIER,NAPLES,FL,Public Use,26.152278,-81.775806,Yes
3282,PIL,PORT ISABEL-CAMERON COUNTY,Port Isabel-Cameron County Airport,Airport,ASW,CAMERON,PORT ISABEL,TX,Public Use,26.166194,-97.345889,Yes
3248,MFE,MC ALLEN MILLER INTL,Mcallen-Miller Int'l Airport,Airport,ASW,HIDALGO,MC ALLEN,TX,Federalized/Commercial,26.175833,-98.238611,Yes
3256,T65,MID VALLEY,Mid Valley Airport,Airport,ASW,HIDALGO,WESLACO,TX,Public Use,26.177639,-97.973056,Yes
800,FXE,FORT LAUDERDALE EXECUTIVE,Fort Lauderdale Executive Airport,Airport,ASO,BROWARD,FORT LAUDERDALE,FL,Public Use,26.197279,-80.170706,Yes
3332,HRL,VALLEY INTL,Valley Int'l Airport,Airport,ASW,CAMERON,HARLINGEN,TX,Public Use,26.227111,-97.655139,Yes
851,PMP,POMPANO BEACH AIRPARK,Pompano Beach Airpark,Airport,ASO,BROWARD,POMPANO BEACH,FL,Public Use,26.247139,-80.111056,Yes
782,BCT,BOCA RATON,Boca Raton Airport,Airport,ASO,PALM BEACH,BOCA RATON,FL,Public Use,26.3785,-80.107694,Yes
5216,67R,RIO GRANDE CITY MUNI,,Airport,ASW,STARR,RIO GRANDE CITY,TX,Public Use,26.424283,-98.846081,No
807,IMM,IMMOKALEE RGNL,Immokalee Regional Airport,Airport,ASO,COLLIER,IMMOKALEE,FL,Public Use,26.433821,-81.401377,Yes
5228,EBG,SOUTH TEXAS INTL AT EDINBURG,,Airport,ASW,HIDALGO,EDINBURG,TX,Public Use,26.441667,-98.122222,No
857,RSW,SOUTHWEST FLORIDA INTL,Southwest Florida Int'l Airport,Airport,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,26.536167,-81.755167,Yes
5145,T05,CHARLES R JOHNSON,,Airport,ASW,WILLACY,PORT MANSFIELD,TX,Public Use,26.562843,-97.437759,No
839,FMY,PAGE FIELD,Page Field Airport,Airport,ASO,LEE,FORT MYERS,FL,Public Use,26.586611,-81.86325,Yes
842,LNA,PALM BEACH COUNTY PARK,Palm Beach County Park Airport,Airport,ASO,PALM BEACH,WEST PALM BEACH,FL,Public Use,26.593056,-80.085065,Yes
843,PBI,PALM BEACH INTL,Palm Beach Int'l Airport,Airport,ASO,PALM BEACH,WEST PALM BEACH,FL,Federalized/Commercial,26.683167,-80.095583,Yes
4183,X10,BELLE GLADE STATE MUNI,,Airport,ASO,PALM BEACH,BELLE GLADE,FL,Public Use,26.698306,-80.660806,No
774,2IS,AIRGLADES,Airglades Airport,Airport,ASO,HENDRY,CLEWISTON,FL,Public Use,26.735167,-81.051056,Yes
814,X14,LA BELLE MUNI,La Belle Municipal Airport,Airport,ASO,HENDRY,LA BELLE,FL,Public Use,26.740583,-81.428278,Yes
841,PHK,PALM BEACH CO GLADES,Palm Beach County Glades Airport,Airport,ASO,PALM BEACH,PAHOKEE,FL,Public Use,26.785028,-80.693361,Yes
829,F45,NORTH PALM BEACH COUNTY GENERAL AVIATION,North Palm Beach County Airport,Airport,ASO,PALM BEACH,WEST PALM BEACH,FL,Public Use,26.845917,-80.222333,Yes
852,PGD,PUNTA GORDA,Charlotte County Airport,Airport,ASO,CHARLOTTE,PUNTA GORDA,FL,Federalized/Commercial,26.918938,-81.990926,Yes
4201,F13,SHELL CREEK AIRPARK,,Airport,ASO,CHARLOTTE,PUNTA GORDA,FL,Public Use,26.968611,-81.916306,No
5251,APY,ZAPATA COUNTY,,Airport,ASW,ZAPATA,ZAPATA,TX,Public Use,26.968786,-99.248908,No
783,X36,BUCHAN,Buchan Airport,Airport,ASO,SARASOTA,ENGLEWOOD,FL,Public Use,26.990081,-82.374018,Yes
4194,X58,INDIANTOWN,,Airport,ASO,MARTIN,INDIANTOWN,FL,Public Use,27.0375,-80.441,No
869,VNC,VENICE MUNI,Venice Municipal Airport,Airport,ASO,SARASOTA,VENICE,FL,Public Use,27.071611,-82.440333,Yes
875,SUA,WITHAM FIELD,Martin County Airport-Witham Field,Airport,ASO,MARTIN,STUART,FL,Public Use,27.1817,-80.221294,Yes
777,X06,ARCADIA MUNI,Arcadia Municipal Airport,Airport,ASO,DE SOTO,ARCADIA,FL,Public Use,27.195609,-81.837228,Yes
3109,BKS,BROOKS COUNTY,Brooks County Airport,Airport,ASW,BROOKS,FALFURRIAS,TX,Public Use,27.206024,-98.121038,Yes
834,OBE,OKEECHOBEE COUNTY,Okeechobee County Airport,Airport,ASO,OKEECHOBEE,OKEECHOBEE,FL,Public Use,27.266583,-80.850389,Yes
3218,HBV,JIM HOGG COUNTY,Jim Hogg County Airport,Airport,ASW,JIM HOGG,HEBBRONVILLE,TX,Public Use,27.349556,-98.736944,Yes
854,SRQ,SARASOTA/BRADENTON INTL,Sarasota/Bradenton Int'l Airport,Airport,ASO,SARASOTA,SARASOTA/BRADENTON,FL,Federalized/Commercial,27.395444,-82.554389,Yes
856,SEF,SEBRING RGNL,Sebring Regional Airport,Airport,ASO,HIGHLANDS,SEBRING,FL,Public Use,27.456389,-81.342389,Yes
859,FPR,ST LUCIE COUNTY INTL,St Lucie County Int'l Airport,Airport,ASO,ST LUCIE,FORT PIERCE,FL,Public Use,27.497472,-80.372639,Yes
872,CHN,WAUCHULA MUNI,Wauchula Municipal Airport,Airport,ASO,HARDEE,WAUCHULA,FL,Public Use,27.514917,-81.880472,Yes
3233,LRD,LAREDO INTL,Laredo Int'l Airport,Airport,ASW,WEBB,LAREDO,TX,Federalized/Commercial,27.544194,-99.461583,Yes
3226,IKG,KLEBERG COUNTY,Kleberg County Airport,Airport,ASW,KLEBERG,KINGSVILLE,TX,Public Use,27.550861,-98.030917,Yes
779,AVO,AVON PARK EXECUTIVE,Avon Park Municipal Airport,Airport,ASO,HIGHLANDS,AVON PARK,FL,Public Use,27.5913,-81.528967,Yes
3104,07R,BISHOP MUNI,Bishop Municipal Airport,Airport,ASW,NUECES,BISHOP,TX,Public Use,27.610167,-97.752528,Yes
4197,X52,NEW HIBISCUS AIRPARK,,Airport,ASO,INDIAN RIVER,VERO BEACH,FL,Public Use,27.632255,-80.527554,No
4182,48X,AIRPORT MANATEE,,Airport,ASO,MANATEE,PALMETTO,FL,Public Use,27.642472,-82.520167,No
870,VRB,VERO BEACH MUNI,Vero Beach Municipal Airport,Airport,ASO,INDIAN RIVER,VERO BEACH,FL,Public Use,27.655556,-80.417944,Yes
3088,ALI,ALICE INTL,Alice Int'l Airport,Airport,ASW,JIM WELLS,ALICE,TX,Public Use,27.740889,-98.026944,Yes
775,SPG,ALBERT WHITTED,Albert Whitted Airport,Airport,ASO,PINELLAS,ST PETERSBURG,FL,Public Use,27.765111,-82.626972,Yes
3137,CRP,CORPUS CHRISTI INTL,Corpus Christi Int'l Airport,Airport,ASW,NUECES,CORPUS CHRISTI,TX,Federalized/Commercial,27.770361,-97.501222,Yes
5204,RBO,NUECES COUNTY,,Airport,ASW,NUECES,ROBSTOWN,TX,Public Use,27.778139,-97.690111,No
4200,2RR,RIVER RANCH RESORT,,Airport,ASO,POLK,RIVER RANCH,FL,Public Use,27.779333,-81.203917,No
5205,67T,OLD HOPPE PLACE,,Airport,ASW,NUECES,AGUA DULCE,TX,Public Use,27.800244,-97.851021,No
5203,RAS,MUSTANG BEACH,,Airport,ASW,NUECES,PORT ARANSAS,TX,Public Use,27.811833,-97.08875,No
855,X26,SEBASTIAN MUNI,Sebastian Municipal Airport,Airport,ASO,INDIAN RIVER,SEBASTIAN,FL,Public Use,27.813235,-80.495584,Yes
5153,T19,DUVAL-FREER,,Airport,ASW,DUVAL,FREER,TX,Public Use,27.88363,-98.600293,No
3210,9R5,HUNT,Hunt Airport San Patricio,Airport,ASW,SAN PATRICIO,PORTLAND,TX,Public Use,27.887801,-97.354436,Yes
816,X07,LAKE WALES MUNI,Lake Wales Municipal Airport,Airport,ASO,POLK,LAKE WALES,FL,Public Use,27.893806,-81.620389,Yes
860,PIE,ST PETERSBURG-CLEARWATER INTL,St Petersburg/Clearwater Int'l Arpt,Airport,ASO,PINELLAS,ST PETERSBURG-CLEARWATER,FL,Federalized/Commercial,27.91,-82.687417,Yes
3317,TFP,T P MC CAMPBELL,Tp Mccampbell Airport,Airport,ASW,SAN PATRICIO,INGLESIDE,TX,Public Use,27.913028,-97.2115,Yes
846,TPF,PETER O KNIGHT,Peter O Knight Airport,Airport,ASO,HILLSBOROUGH,TAMPA,FL,Public Use,27.915444,-82.449389,Yes
4202,X49,SOUTH LAKELAND,,Airport,ASO,POLK,LAKELAND,FL,Public Use,27.933358,-82.043974,No
780,BOW,BARTOW MUNI,Bartow Municipal Airport,Airport,ASO,POLK,BARTOW,FL,Public Use,27.943361,-81.783417,Yes
4187,X25,CHALET SUZANNE AIR STRIP,,Airport,ASO,POLK,LAKE WALES,FL,Public Use,27.953806,-81.601417,No
868,X59,VALKARIA,Valkaria Airport,Airport,ASO,BREVARD,VALKARIA,FL,Public Use,27.960861,-80.558333,Yes
864,TPA,TAMPA INTL,Tampa Int'l Airport,Airport,ASO,HILLSBOROUGH,TAMPA,FL,Federalized/Commercial,27.975472,-82.53325,Yes
