,Store Number,City,Total Sales,Total Sales mean,County Number,Price per Liter mean_x,Zip Code,Total Volume Sold (Liters),Total Volume Sold (Liters) mean,Total Margin mean,2015 Sales,2015 Sales mean,Price per Liter mean_y,2015 Volume Sold (Liters),2015 Volume Sold (Liters) mean,2015 Margin mean,2015 Sales Q1,2016 Sales,2016 Sales mean,Price per Liter mean,2016 Volume Sold (Liters),2016 Volume Sold (Liters) mean,2016 Margin mean,2016 Sales Q1
0,2106,CEDAR FALLS,176849.97,270.412798165,7.0,17.8969717489,50613,11849.6,18.1186544343,90.2565137615,146326.22,277.65886148,17.8566007048,9731.85,18.4665085389,92.6718785579,39287.29,30523.75,240.344488189,18.064495688,2117.75,16.6751968504,80.2337007874,30523.75
1,2113,GOWRIE,11376.12,61.8267391304,94.0,18.3016511387,50543,836.85,4.54809782609,20.665923913,9310.22,63.334829932,18.5077000324,659.85,4.4887755102,21.1499319728,2833.25,2065.9,55.8351351351,17.483024453,177.0,4.78378378378,18.742972973,2065.9
2,2130,WATERLOO,139727.54,274.513831041,7.0,16.9774845636,50703,8448.27,16.5977799607,91.5785658153,111871.43,285.38630102,16.8358093416,6891.37,17.5800255102,95.2173469388,24272.57,27856.11,238.086410256,17.4521571022,1556.9,13.3068376068,79.3870940171,27856.11
3,2152,ROCKWELL,9097.51,53.2018128655,17.0,12.9324900702,50469,773.5,4.52339181287,17.8302339181,7721.08,54.7594326241,13.020765122,633.37,4.4919858156,18.3512765957,2003.46,1376.43,45.881,12.5175973266,140.13,4.671,15.3813333333,1376.43
4,2178,WAUKON,29912.68,101.398915254,3.0,15.8666880029,52172,2437.92,8.26413559322,34.0151186441,24324.18,102.633670886,16.0538441186,1917.12,8.08911392405,34.4544303797,5856.41,5588.5,96.3534482759,15.1019293924,520.8,8.97931034483,32.22,5588.5
5,2190,DES MOINES,156204.75,96.0668819188,77.0,23.9460162486,50314,7839.63,4.82142066421,32.0584317343,121689.06,92.5392091255,23.3062274825,6322.17,4.8077338403,30.8880076046,29452.92,34515.69,110.982926045,26.6512324137,1517.46,4.8792926045,37.0073311897,34515.69
6,2191,KEOKUK,172431.69,233.331109608,56.0,18.8726095837,52632,10981.44,14.859864682,77.8469824087,125093.49,209.88840604,19.0640531492,8053.32,13.5122818792,70.0409228188,29085.57,47338.2,331.036363636,18.074704933,2928.12,20.4763636364,110.381328671,47338.2
7,2200,SAC CITY,26986.42,55.6421030928,81.0,16.8469004599,50583,2136.02,4.40416494845,18.6504948454,22811.55,56.6043424318,16.7069689267,1817.24,4.50928039702,18.9912406948,4900.43,4174.87,50.9130487805,17.5346127514,318.78,3.88756097561,16.9758536585,4174.87
8,2228,WINTERSET,20548.45,67.1517973856,61.0,18.2464632169,50273,1576.5,5.15196078431,22.4773856209,17462.07,72.758625,17.8901010338,1367.65,5.69854166667,24.3514166667,5193.97,3086.38,46.7633333333,19.5423257006,208.85,3.16439393939,15.6627272727,3086.38
9,2233,SPIRIT LAKE,36075.99,124.399965517,30.0,20.7577676519,51360,2958.31,10.2010689655,41.5254827586,29553.34,122.627966805,19.9450824936,2480.69,10.2933195021,40.9404979253,5374.55,6522.65,133.115306122,24.7548517979,477.62,9.74734693878,44.4026530612,6522.65
