Airport,Year,Departure Cancellations,Arrival Cancellations,Departure Diversions,Arrival Diversions
ABQ,2004.0,242.0,235.0,71.0,46.0
ABQ,2005.0,221.0,190.0,61.0,33.0
ABQ,2006.0,392.0,329.0,71.0,124.0
ABQ,2007.0,366.0,304.0,107.0,45.0
ABQ,2008.0,333.0,300.0,79.0,42.0
ABQ,2009.0,192.0,162.0,74.0,26.0
ABQ,2010.0,222.0,177.0,71.0,50.0
ABQ,2011.0,345.0,294.0,77.0,61.0
ABQ,2012.0,237.0,181.0,65.0,60.0
ABQ,2013.0,232.0,212.0,62.0,46.0
ABQ,2014.0,315.0,274.0,66.0,37.0
ANC,2004.0,473.0,532.0,73.0,30.0
ANC,2005.0,424.0,484.0,74.0,31.0
ANC,2006.0,367.0,436.0,88.0,50.0
ANC,2007.0,359.0,423.0,93.0,54.0
ANC,2008.0,268.0,355.0,97.0,57.0
ANC,2009.0,354.0,421.0,84.0,80.0
ANC,2010.0,149.0,204.0,84.0,32.0
ANC,2011.0,191.0,265.0,87.0,36.0
ANC,2012.0,216.0,284.0,78.0,36.0
ANC,2013.0,141.0,184.0,65.0,40.0
ANC,2014.0,111.0,162.0,74.0,28.0
ATL,2004.0,7870.0,8433.0,737.0,772.0
ATL,2005.0,13837.0,14480.0,790.0,1080.0
ATL,2006.0,6624.0,7301.0,913.0,787.0
ATL,2007.0,6796.0,7790.0,920.0,1045.0
ATL,2008.0,5830.0,6705.0,982.0,1072.0
ATL,2009.0,5324.0,6303.0,1064.0,1116.0
ATL,2010.0,8198.0,9279.0,971.0,945.0
ATL,2011.0,6555.0,7484.0,903.0,812.0
ATL,2012.0,2259.0,2782.0,798.0,655.0
ATL,2013.0,2916.0,3450.0,870.0,655.0
ATL,2014.0,5977.0,6483.0,781.0,655.0
AUS,2004.0,477.0,436.0,53.0,40.0
AUS,2005.0,435.0,411.0,57.0,76.0
AUS,2006.0,440.0,387.0,82.0,51.0
AUS,2007.0,827.0,773.0,116.0,114.0
AUS,2008.0,732.0,688.0,95.0,86.0
AUS,2009.0,298.0,261.0,72.0,69.0
AUS,2010.0,356.0,307.0,74.0,67.0
AUS,2011.0,425.0,399.0,102.0,30.0
AUS,2012.0,353.0,323.0,80.0,60.0
AUS,2013.0,390.0,318.0,84.0,80.0
