160.0
3 / 4
Note/Rest,Octave,Len,Offset
A,5,1.75,0.0
F,5,1.25,3.0
G,5,1/3,5.5
A,5,1/3,5.875
A,5,1.625,15.0
G,5,0.333333333333,23.3333333333
E-,4,1.875,24.0
C,6,2.125,36.0
E-,5,1.625,39.75
C,6,0.625,42.0
C,6,0.375,44.5
C#,6,5/3,45.125
B-,5,0.625,47.375
C,6,3.875,48.125
C,6,1.5,52.625
B-,5,2.375,54.125
F,4,1.75,57.75
A,5,2.25,60.125
G,5,0.375,71.3333333333
A,3,2.125,78.0
E,5,0.375,86.3333333333
F#,4,1.375,87.125
C#,5,1/3,88.6666666667
C#,5,0.25,89.375
C#,4,1.0,90.0
G#,4,0.25,91.75
G#,4,0.25,92.5
B-,4,1.875,111.0
F,5,2/3,116.875
E-,5,0.375,117.666666667
F#,4,0.875,118.5
A,4,1.5,119.875
C,5,1.25,132.625
C,5,0.875,134.333333333
C,5,1.125,135.75
C,5,2.5,137.333333333
G,5,0.75,140.375
A,5,0.5,141.25
E,5,0.625,141.875
E-,5,0.75,142.625
G,5,0.5,148.875
A,5,1/3,149.5
F#,5,1/3,155.375
A,5,2.0,156.0
G#,3,0.625,190.666666667
E,5,0.375,196.666666667
E-,5,0.375,197.5
B-,4,0.5,203.5
E,4,2.0,234.0
F,4,1.625,243.666666667
G,5,0.5,257.5
F,3,2.375,263.875
A,5,0.375,269.5
B,5,0.375,269.875
C,5,3.25,271.75
C,6,0.25,275.375
F,5,2.25,288.0
D,5,0.5,293.375
F,5,1/3,305.375
D,5,0.5,320.5
F#,4,0.875,321.125
G#,5,0.625,333.0
A,5,1.75,333.625
E-,5,0.875,340.666666667
G,3,1.5,344.875
G,3,2/3,346.666666667
E-,4,0.5,353.5
F,4,2.25,354.0
G,4,1.125,358.666666667
C,7,3.0,372.0
F#,6,0.125,383.0
G,4,0.375,395.333333333
D,4,1.625,396.125
D,5,7/3,413.75
F,3,0.75,428.333333333
F,4,0.25,443.5
D,6,1.875,450.0
C,5,1/3,458.75
A,4,0.75,459.125
B-,3,1.125,463.75
C,4,0.25,465.5
C#,4,1/3,465.75
E,4,0.25,466.333333333
G#,4,1/3,466.875
C,5,0.25,467.25
C#,5,0.25,467.5
E-,5,0.25,467.875
C,5,11/3,468.125
D,5,1.0,472.75
C,5,0.25,473.875
E,5,1.0,474.125
D,5,1.0,475.125
B-,4,0.625,476.125
A,4,0.125,476.75
G#,4,0.875,477.125
D,5,0.25,479.75
C,3,1.875,483.0
A,4,1/3,485.375
E,4,0.375,486.875
F,4,1.0,487.625
C#,4,0.75,489.0
C,4,0.875,489.875
C#,4,1.0,490.75
A,4,0.875,492.0
C,4,0.875,493.0
F,4,1/3,498.0
A,4,1/3,498.333333333
A,4,0.625,499.125
D,5,2/3,500.125
G#,5,0.125,501.25
A,5,0.25,501.5
D,6,0.375,501.75
G#,5,0.25,502.125
A,5,0.25,502.375
D,6,0.25,502.75
C,6,0.5,503.125
C,5,0.375,503.75
C,5,2/3,504.375
D,5,0.75,505.125
C,5,1.5,505.875
C,5,0.125,507.75
G#,5,1/3,508.125
A,5,0.125,508.5
B-,5,0.375,509.25
B-,4,0.5,512.125
D,4,0.5,512.75
F,4,0.5,513.333333333
E,4,2/3,514.125
F#,4,0.125,515.0
G,4,0.125,515.375
E,4,0.25,515.75
F,4,0.625,516.125
G,4,2/3,519.875
G#,4,0.5,525.25
E,5,1.5,525.875
D,5,0.375,527.625
C#,5,1.75,528.125
F#,4,2.625,530.875
C,5,0.375,533.75
B,4,1.5,534.125
B,2,1/3,535.75
G,4,0.25,536.75
G,4,0.75,539.0
C,4,1/3,539.75
A,3,1/3,541.75
A,4,1.5,543.0
A,4,0.625,547.75
B,4,0.75,551.0
C#,5,0.375,554.125
E,5,0.25,554.5
G#,5,1/3,557.375
E,5,0.375,559.25
G#,5,1/3,560.5
E,5,0.5,560.875
D,5,0.125,562.625
A,5,0.25,564.0
