,city,company,title,parsed_salary
0,San Francisco,MarkMonitor,Data Scientist,180000.0
1,San Francisco,Workbridge Associates,Senior Data Scientist,155000.0
2,San Francisco,Mines.io,Full-Stack Data Scientist,100000.0
3,San Francisco,Workbridge Associates,Data Scientist,165000.0
4,San Francisco,Smith Hanley Associates,Data Scientist,140000.0
5,San Francisco,HSF Consulting,VP of Data Services,300000.0
6,San Francisco,All-In Analytics,Fraud Data Scientist,125000.0
7,San Francisco,Brilent,Senior Data Scientist,130000.0
8,San Francisco,HSF Consulting,Senior Data Scientist,160000.0
10,San Francisco,Jobspring Partners,Python Developer (Machine Learning),162500.0
11,San Francisco,University of California Berkeley,"Staff Research Associate, PMB",3850.0
12,San Francisco,Workbridge Associates,Chief Algorithm Developer (Signal Processing) - Wearables,150000.0
14,San Francisco,University of California Berkeley,Post-Doctoral Scholar-Employee: Analysis of omics data,47406.0
15,San Francisco,Workbridge Associates,Principal Data Scientist,155000.0
17,San Francisco,Workbridge Associates,Data Scientist (Econometrics),140000.0
18,San Francisco,Workbridge Associates,Data Scientist (Statistics/Economics),120000.0
19,San Francisco,Corporate Labs Technology,Data Scientist (Machine Learning),145000.0
20,San Francisco,Brilent,Senior NLP Scientist/Engineer,150000.0
21,San Francisco,Workbridge Associates,Senior Data Scientist (Autonomous Vehicle Research),170000.0
22,San Francisco,3coast,VP - Predictive Modeling / Data Scientist,140000.0
23,San Francisco,University of California Berkeley,"Database Administrator, GSE",74550.0
24,San Francisco,"NextGen Jane, Inc.",Scientific Researcher,65000.0
25,San Francisco,Jobspring Partners,Vice President Engineering (Big Data/ Machine Learning),227500.0
29,San Francisco,Talent Compliance Consulting Services,Quality Control Scientist,100000.0
31,San Francisco,California State University,"Administrative Analyst/Specialist, Exempt I - Office of Rese...",55200.0
32,San Francisco,Workbridge Associates,"Senior Data Scientist (Python, R, recommendation)",120000.0
33,San Francisco,Corporate Labs Technology,Data Scientist (Natural Language Processing),145000.0
34,San Francisco,Workbridge Associates,Senior Data Scientist (FinTech),152500.0
35,San Francisco,Workbridge Associates,"Staff Engineer, Machine Learning (Scala)",180000.0
36,San Francisco,Workbridge Associates,Mid-Level Data Engineer,135000.0
37,San Francisco,Workbridge Associates,Data Scientist - Python,130000.0
38,San Francisco,Analytic Recruiting,Lead Data Scientist,160000.0
39,San Francisco,Workbridge Associates,Director of Data Science (Mapping),175000.0
44,San Francisco,LT,QA Engineer,125000.0
45,San Francisco,LT,Java Developer,200000.0
46,San Francisco,Galvanize,"Data Science Resident (DSR), Data Engineering Resident (DER)...",2500.0
47,San Francisco,LT,Erlang Engineer,180000.0
48,San Francisco,University of California Berkeley,Lecturer - Statistics - Department of Statistics (includes s...,49012.0
49,San Francisco,Workbridge Associates,Senior Data Scientist (Healthcare),137500.0
405,New York,AllianceBernstein,AVP/Quantitative Analyst,122500.0
406,New York,Empiric Solutions,Data Scientist - Digital Marketing - Technology Start-Up,140000.0
408,New York,Empiric Solutions,Data Scientist - Life Sciences,140000.0
410,New York,Wade & Wendy,Data Scientist,100000.0
411,New York,ADMIN FOR CHILDREN'S SVCS,Director of Qualitative Review & Evaluation Unit,97866.5
412,New York,Selby Jennings,Data Scientist,150000.0
413,New York,Technical Source,Data Scientist,200000.0
414,New York,Datacom Technology Group,Quantitative Analyst (Fundamental Quant Equities) - Hedge Fu...,200000.0
415,New York,HRA/DEPT OF SOCIAL SERVICES,DATA ANALYST,59984.5
416,New York,TalentHub Worldwide,Data Scientist,105000.0
417,New York,Smith Hanley Associates,Data Scientist,115000.0
418,New York,Smart Host,Data Scientist (Lead),75000.0
419,New York,Princeton Consulting,Data Scientist,150000.0
423,New York,DEPT OF HEALTH/MENTAL HYGIENE,"Data Analyst, Bureau of Chronic Disease Prevention and Tobac...",76941.5
424,New York,Infinity Consulting Solutions,Business Analyst ( Data),80000.0
425,New York,Oliver James Associates,VP - Predictive Modeling Actuary,215000.0
426,New York,"Execsolution, Inc.",Data Scientist,150000.0
